influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise,follower_instagram,engagement_rate,avg_reels_views_5,avg_likes_5,avg_comments_5
INF029,Aurel Oriana,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.47,True,True,0,0,0,0,0
INF030,Angel Tamara,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.77,True,True,0,0,0,0,0
INF031,Calista Cherrie,Instagram,80,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,True,Positive,False,"['Beauty','Fashion']",False,0.93,True,True,0,0,0,0,0
INF032,Shalfa Putri Raihan,Instagram,60,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.94,True,True,0,0,0,0,0
INF033,Sarah Ayu,Instagram,68,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.9,True,True,0,0,0,0,0
INF034,Agustina Hermanto,Instagram,67,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.31,True,True,0,0,0,0,0
INF035,Najwa Shihab,YouTube,64,"['Education','Media','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Jurnalis','Narasi']",True,0.66,True,True,0,0,0,0,0
INF036,Dewi Lestari,Instagram,76,"['Education','Writing','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Musisi']",True,0.52,True,True,0,0,0,0,0
INF037,Brian Febrian,Instagram,65,"['Education','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Pakar','Edukasi']",True,0.94,True,True,0,0,0,0,0
INF038,Najelaa Shihab,Instagram,73,"['Education','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Caring']",Empowerment,False,Positive,True,"['Pendidikan','Aktivis']",True,0.69,True,True,0,0,0,0,0
INF039,Gede Prama,Instagram,84,"['Education','Spiritual','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Spiritual','Simple']","['Wise','Calm']",Wisdom,False,Positive,True,"['Spiritual','Motivator']",True,0.41,True,True,0,0,0,0,0
INF042,Gitasav,Instagram,77,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.23,True,True,0,0,0,0,0
INF043,Alya Nurshabrina,Instagram,78,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.76,True,True,0,0,0,0,0
INF044,Reza Aditya,Instagram,68,"['Education','Public Expert','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.2,True,True,0,0,0,0,0
INF045,Felix Siauw,YouTube,82,"['Education','Religion','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Religious','Modern']","['Wise','Inspiring']",Faith,False,Positive,True,"['Ustadz','Motivator']",True,0.42,True,True,0,0,0,0,0
INF046,Nadia Mulya,Instagram,67,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']",Family,False,Positive,True,"['Parenting','Edukasi']",True,0.31,True,True,0,0,0,0,0
INF047,Luna Vidya,Instagram,76,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']",Family,False,Positive,True,"['Parenting','Edukasi']",True,0.92,True,True,0,0,0,0,0
INF048,Agustinus Wibowo,Instagram,61,"['Education','Writing','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Travel']",True,0.24,True,True,0,0,0,0,0
INF053,Rara Sekar,Instagram,83,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Musisi']",True,0.45,True,True,0,0,0,0,0
INF055,Isyana Sarasvati,Instagram,62,"['Activism','Music','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Creative']","['Talented','Inspiring']",Creativity,True,Positive,True,"['Musisi','Aktivis']",True,0.85,True,True,0,0,0,0,0
INF056,Vidi Aldiano,Instagram,70,"['Activism','Music','Changemaker']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Creative']","['Talented','Friendly']",Empowerment,True,Positive,True,"['Musisi','Aktivis']",True,0.38,True,True,0,0,0,0,0
INF061,Helga Angelina,Instagram,76,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Vegan']",True,0.39,True,True,0,0,0,0,0
INF062,Melati Wijsen,Instagram,80,"['Activism','Social','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Aktivis']",True,0.55,True,True,0,0,0,0,0
INF065,Anindya Kusuma,Instagram,78,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Influencer']",True,0.27,True,True,0,0,0,0,0
INF067,Eva Bande,Instagram,60,"['Activism','Social','Changemaker']",Generasi X,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Inspiring']",Justice,True,Positive,True,"['Aktivis','Lingkungan']",True,0.93,True,True,0,0,0,0,0
INF068,Zahra Muzdalifah,Instagram,74,"['Activism','Sports','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Sporty']","['Energetic','Inspiring']",Empowerment,True,Positive,True,"['Atlet','Aktivis']",True,0.24,True,True,0,0,0,0,0
INF069,Sarwendah,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Selebriti']",False,0.81,True,False,0,0,0,0,0
INF070,Cut Meyriska,Instagram,62,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.6,True,False,0,0,0,0,0
INF072,Danu Alqamara,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Family','Simple']","['Friendly','Caring']",Family,False,Positive,False,"['Ayah','Influencer']",False,0.79,True,False,0,0,0,0,0
INF074,Donna Harun,Instagram,69,"['Lifestyle','Family','Everyday']",Generasi X,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Elegant']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.2,True,False,0,0,0,0,0
INF075,Rian Fahardhi,Instagram,78,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Simple','Modern']","['Friendly','Caring']",Fun,False,Positive,False,"['Influencer','Daily']",False,0.4,True,False,0,0,0,0,0
INF076,Nona Berlian Sakina,Instagram,77,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Family','Simple']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Influencer']",False,0.23,True,False,0,0,0,0,0
INF078,Henjiwong,Instagram,61,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Chef']",False,0.91,True,False,0,0,0,0,0
INF080,Anakjajan,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.27,True,False,0,0,0,0,0
INF081,Kuliner Koko,Instagram,82,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False,0,0,0,0,0
INF082,Susan Theresia,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.84,True,False,0,0,0,0,0
INF083,Agakenyang,Instagram,65,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.37,True,False,0,0,0,0,0
INF084,Ayoe Widya,Instagram,66,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False,0,0,0,0,0
INF085,Syifa Hadju,Instagram,73,"['Lifestyle','Beauty','Everyday']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Stylish']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.78,True,False,0,0,0,0,0
INF086,Greysia Polii,Instagram,84,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.29,True,True,0,0,0,0,0
INF087,Apriyani Rahayu,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.91,True,True,0,0,0,0,0
INF088,Liliyana Natsir,Instagram,83,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.23,True,True,0,0,0,0,0
INF089,Rio Haryanto,Instagram,72,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Ambitious']",Achievement,True,Positive,True,"['F1','Balap']",True,0.53,True,True,0,0,0,0,0
INF090,Anthony Ginting,Instagram,62,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.69,True,True,0,0,0,0,0
INF091,Jonatan Christie,Instagram,65,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.43,True,True,0,0,0,0,0
INF092,Kevin Sanjaya,Instagram,81,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.57,True,True,0,0,0,0,0
INF093,Marcus Gideon,Instagram,73,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.6,True,True,0,0,0,0,0
INF094,Rizki Amelia,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.33,True,True,0,0,0,0,0
INF095,Eko Yuli Irawan,Instagram,70,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Angkat Besi','Olimpiade']",True,0.41,True,True,0,0,0,0,0
INF096,Diananda Choirunisa,Instagram,64,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Panahan','Olimpiade']",True,0.25,True,True,0,0,0,0,0
INF097,Indra Sjafri,Instagram,70,"['Sports','Coach','Motivation']",Generasi X,Laki-laki,Menengah ke atas,"['Sporty','Leader']","['Inspiring','Disiplin']",Leadership,True,Positive,True,"['Pelatih','Sepakbola']",True,0.22,True,True,0,0,0,0,0
INF098,Wahyu Nayaka,Instagram,65,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.87,True,True,0,0,0,0,0
INF099,Ahsan Hendra,Instagram,61,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.44,True,True,0,0,0,0,0
INF100,Aprilia Manganang,Instagram,78,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Voli','Olimpiade']",True,0.24,True,True,0,0,0,0,0
INF101,Zohri Lalu,Instagram,81,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Atletik','Olimpiade']",True,0.68,True,True,0,0,0,0,0
INF102,Bryan Domani,Instagram,64,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Friendly']",Achievement,True,Positive,True,"['Aktor','Olahraga']",True,0.64,True,False,0,0,0,0,0
INF103,Yasa Singgih,Instagram,62,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Smart']",Innovation,True,Positive,True,"['Bisnis','Startup']",True,0.75,True,True,0,0,0,0,0
INF105,Andhika Diskartes,Instagram,81,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']",Knowledge,True,Positive,True,"['Finansial','Edukasi']",True,0.27,True,True,0,0,0,0,0
INF106,Raden Rauf,Instagram,63,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.27,True,True,0,0,0,0,0
INF107,Sandy Firmansyah,Instagram,71,"['Business','Entrepreneur','Finance']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']",Innovation,True,Positive,True,"['Bisnis','Startup']",True,0.38,True,True,0,0,0,0,0
INF108,Jouska,Instagram,75,"['Business','Finance','Education']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Analytical']",Knowledge,True,Positive,True,"['Finansial','Edukasi']",True,0.89,True,True,0,0,0,0,0
INF109,Fellexandro Ruby,Instagram,79,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.43,True,True,0,0,0,0,0
INF110,Denny Santoso,Instagram,70,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.88,True,True,0,0,0,0,0
INF111,Vincent Raditya,YouTube,79,"['Business','Aviation','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Aviation']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Pilot','Motivator']",True,0.37,True,True,0,0,0,0,0
INF112,Christian Sugiono,Instagram,75,"['Business','Entrepreneur','Tech']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Ambitious']",Innovation,True,Positive,True,"['Startup','Teknologi']",True,0.21,True,True,0,0,0,0,0
INF113,Hanifa Ambadar,Instagram,83,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.81,True,True,0,0,0,0,0
INF117,Rendy Saputra,Instagram,63,"['Business','Entrepreneur','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Ambitious','Inspiring']",Empowerment,True,Positive,True,"['Bisnis','Motivator']",True,0.9,True,True,0,0,0,0,0
INF118,Agung Hapsah,YouTube,77,"['Business','Tech','Content Creator']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Tech']","['Creative','Smart']",Innovation,True,Positive,True,"['Teknologi','YouTuber']",True,0.6,True,True,0,0,0,0,0
INF119,Irfan Amalee,Instagram,65,"['Business','Education','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Entrepreneur','Modern']","['Smart','Inspiring']",Empowerment,True,Positive,True,"['Edukasi','Motivator']",True,0.35,True,True,0,0,0,0,0
INF120,Sibungbung,Instagram,61,"['Culinary','Food','Creator']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.84,True,False,0,0,0,0,0
INF121,Nana Koot,Instagram,66,"['Culinary','Food','Creator']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.29,True,False,0,0,0,0,0
INF122,Vindy Lee,Instagram,82,"['Culinary','Food','Chef']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.84,True,True,0,0,0,0,0
INF123,Chef Arnold,Instagram,81,"['Culinary','Food','Chef']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.61,True,True,0,0,0,0,0
INF124,Farah Quinn,Instagram,81,"['Culinary','Food','Chef']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.22,True,True,0,0,0,0,0
INF125,William Gozali,Instagram,78,"['Culinary','Food','Chef']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Talented']",Creativity,True,Positive,True,"['Chef','Kuliner']",True,0.25,True,True,0,0,0,0,0
